Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,effic,V,J,Acq Min Voltage,Acq Max Voltage,Acq Start Voltage,Acq Step Voltage,Acq Gate Voltage,Acq Hold Time,Acq Num Aver Scans,Delay Before Meas,Num Track Points,PV mode,Track Interval,Comments
Robotic-SC_sweep-back,2017-10-17,17-26-03,0.0,4.2102,4.2817,2.899999999999965,9.391359999999885,0.520966175378387,2.084930290382711,-5.000000000000007,5.2344,-5,5,0,0.1,0,0.1,1.0,1,5.0,True,2,Under solar sim
,,,,,,,,,,-4.9000000000000075,5.205900000000001,,,,,,,,,,,,
,,,,,,,,,,-4.800000000000008,5.1783,,,,,,,,,,,,
,,,,,,,,,,-4.700000000000008,5.1598,,,,,,,,,,,,
,,,,,,,,,,-4.6000000000000085,5.1389000000000005,,,,,,,,,,,,
,,,,,,,,,,-4.500000000000009,5.113700000000001,,,,,,,,,,,,
,,,,,,,,,,-4.400000000000009,5.0908,,,,,,,,,,,,
,,,,,,,,,,-4.30000000000001,5.0635,,,,,,,,,,,,
,,,,,,,,,,-4.20000000000001,5.0339,,,,,,,,,,,,
,,,,,,,,,,-4.10000000000001,5.0104999999999995,,,,,,,,,,,,
,,,,,,,,,,-4.000000000000011,4.9916,,,,,,,,,,,,
,,,,,,,,,,-3.900000000000011,4.9707,,,,,,,,,,,,
,,,,,,,,,,-3.8000000000000114,4.9483999999999995,,,,,,,,,,,,
,,,,,,,,,,-3.7000000000000117,4.923,,,,,,,,,,,,
,,,,,,,,,,-3.600000000000012,4.899900000000001,,,,,,,,,,,,
,,,,,,,,,,-3.5000000000000124,4.8778999999999995,,,,,,,,,,,,
,,,,,,,,,,-3.400000000000013,4.8589,,,,,,,,,,,,
,,,,,,,,,,-3.300000000000013,4.838299999999999,,,,,,,,,,,,
,,,,,,,,,,-3.2000000000000135,4.8295,,,,,,,,,,,,
,,,,,,,,,,-3.100000000000014,4.8176000000000005,,,,,,,,,,,,
,,,,,,,,,,-3.000000000000014,4.7932,,,,,,,,,,,,
,,,,,,,,,,-2.9000000000000146,4.775,,,,,,,,,,,,
,,,,,,,,,,-2.800000000000015,4.7577,,,,,,,,,,,,
,,,,,,,,,,-2.7000000000000153,4.7365,,,,,,,,,,,,
,,,,,,,,,,-2.6000000000000156,4.716,,,,,,,,,,,,
,,,,,,,,,,-2.500000000000016,4.6894,,,,,,,,,,,,
,,,,,,,,,,-2.4000000000000163,4.665699999999999,,,,,,,,,,,,
,,,,,,,,,,-2.3000000000000167,4.648000000000001,,,,,,,,,,,,
,,,,,,,,,,-2.200000000000017,4.6252,,,,,,,,,,,,
,,,,,,,,,,-2.1000000000000174,4.6073,,,,,,,,,,,,
,,,,,,,,,,-2.0000000000000178,4.590199999999999,,,,,,,,,,,,
,,,,,,,,,,-1.9000000000000181,4.5674,,,,,,,,,,,,
,,,,,,,,,,-1.8000000000000185,4.5425,,,,,,,,,,,,
,,,,,,,,,,-1.7000000000000188,4.5149,,,,,,,,,,,,
,,,,,,,,,,-1.6000000000000192,4.5049,,,,,,,,,,,,
,,,,,,,,,,-1.5000000000000195,4.4944,,,,,,,,,,,,
,,,,,,,,,,-1.40000000000002,4.4778,,,,,,,,,,,,
,,,,,,,,,,-1.3000000000000203,4.4631,,,,,,,,,,,,
,,,,,,,,,,-1.2000000000000206,4.454,,,,,,,,,,,,
,,,,,,,,,,-1.100000000000021,4.4432,,,,,,,,,,,,
,,,,,,,,,,-1.0000000000000213,4.4395,,,,,,,,,,,,
,,,,,,,,,,-0.9000000000000217,4.4346000000000005,,,,,,,,,,,,
,,,,,,,,,,-0.800000000000022,4.4271,,,,,,,,,,,,
,,,,,,,,,,-0.7000000000000224,4.4079999999999995,,,,,,,,,,,,
,,,,,,,,,,-0.6000000000000227,4.391500000000001,,,,,,,,,,,,
,,,,,,,,,,-0.5000000000000231,4.3729000000000005,,,,,,,,,,,,
,,,,,,,,,,-0.40000000000002345,4.3612,,,,,,,,,,,,
,,,,,,,,,,-0.3000000000000238,4.3455,,,,,,,,,,,,
,,,,,,,,,,-0.20000000000002416,4.3226,,,,,,,,,,,,
,,,,,,,,,,-0.10000000000002451,4.3018,,,,,,,,,,,,
,,,,,,,,,,-2.4868995751603507e-14,4.278,,,,,,,,,,,,
,,,,,,,,,,0.09999999999997478,4.2513000000000005,,,,,,,,,,,,
,,,,,,,,,,0.19999999999997442,4.2309,,,,,,,,,,,,
,,,,,,,,,,0.29999999999997407,4.2067,,,,,,,,,,,,
,,,,,,,,,,0.3999999999999737,4.1867,,,,,,,,,,,,
,,,,,,,,,,0.49999999999997335,4.1615,,,,,,,,,,,,
,,,,,,,,,,0.599999999999973,4.135,,,,,,,,,,,,
,,,,,,,,,,0.6999999999999726,4.1116,,,,,,,,,,,,
,,,,,,,,,,0.7999999999999723,4.0871,,,,,,,,,,,,
