Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,effic,V,J,Acq Min Voltage,Acq Max Voltage,Acq Start Voltage,Acq Step Voltage,Acq Gate Voltage,Acq Hold Time,Acq Num Aver Scans,Delay Before Meas,Num Track Points,PV mode,Track Interval,Comments
Robotic-SC_JV-forward,2017-10-17,17-26-17,0.0,4.2176,4.2665999999999995,2.9000000000000004,9.335970000000001,0.5188145292648613,2.0726334250954626,0.0,4.2583,-5,5,0,0.1,0,0.1,1.0,1,5.0,True,2,Under solar sim
,,,,,,,,,,0.1,4.2305,,,,,,,,,,,,
,,,,,,,,,,0.2,4.209,,,,,,,,,,,,
,,,,,,,,,,0.30000000000000004,4.1861,,,,,,,,,,,,
,,,,,,,,,,0.4,4.1685,,,,,,,,,,,,
,,,,,,,,,,0.5,4.1446000000000005,,,,,,,,,,,,
,,,,,,,,,,0.6000000000000001,4.1175,,,,,,,,,,,,
,,,,,,,,,,0.7000000000000001,4.0894,,,,,,,,,,,,
,,,,,,,,,,0.8,4.0664,,,,,,,,,,,,
,,,,,,,,,,0.9,4.04,,,,,,,,,,,,
,,,,,,,,,,1.0,4.0109,,,,,,,,,,,,
,,,,,,,,,,1.1,3.9819,,,,,,,,,,,,
,,,,,,,,,,1.2000000000000002,3.9571,,,,,,,,,,,,
,,,,,,,,,,1.3,3.9279,,,,,,,,,,,,
,,,,,,,,,,1.4000000000000001,3.8981,,,,,,,,,,,,
,,,,,,,,,,1.5,3.8666,,,,,,,,,,,,
,,,,,,,,,,1.6,3.8329999999999997,,,,,,,,,,,,
,,,,,,,,,,1.7000000000000002,3.7995,,,,,,,,,,,,
,,,,,,,,,,1.8,3.7619,,,,,,,,,,,,
,,,,,,,,,,1.9000000000000001,3.7289000000000003,,,,,,,,,,,,
,,,,,,,,,,2.0,3.6938,,,,,,,,,,,,
,,,,,,,,,,2.1,3.6563999999999997,,,,,,,,,,,,
,,,,,,,,,,2.2,3.6149,,,,,,,,,,,,
,,,,,,,,,,2.3000000000000003,3.5729,,,,,,,,,,,,
,,,,,,,,,,2.4000000000000004,3.5337,,,,,,,,,,,,
,,,,,,,,,,2.5,3.4874,,,,,,,,,,,,
,,,,,,,,,,2.6,3.4347000000000003,,,,,,,,,,,,
,,,,,,,,,,2.7,3.3816,,,,,,,,,,,,
,,,,,,,,,,2.8000000000000003,3.3106999999999998,,,,,,,,,,,,
,,,,,,,,,,2.9000000000000004,3.2193,,,,,,,,,,,,
,,,,,,,,,,3.0,3.1041,,,,,,,,,,,,
,,,,,,,,,,3.1,2.9743,,,,,,,,,,,,
,,,,,,,,,,3.2,2.8246,,,,,,,,,,,,
,,,,,,,,,,3.3000000000000003,2.6534,,,,,,,,,,,,
,,,,,,,,,,3.4000000000000004,2.4696000000000002,,,,,,,,,,,,
,,,,,,,,,,3.5,2.2616,,,,,,,,,,,,
,,,,,,,,,,3.6,2.0267,,,,,,,,,,,,
,,,,,,,,,,3.7,1.7601,,,,,,,,,,,,
,,,,,,,,,,3.8000000000000003,1.4646000000000001,,,,,,,,,,,,
,,,,,,,,,,3.9000000000000004,1.13769,,,,,,,,,,,,
,,,,,,,,,,4.0,0.79297,,,,,,,,,,,,
,,,,,,,,,,4.1000000000000005,0.41942,,,,,,,,,,,,
,,,,,,,,,,4.2,-0.016455,,,,,,,,,,,,
