Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,effic,V,J,Acq Min Voltage,Acq Max Voltage,Acq Start Voltage,Acq Step Voltage,Acq Gate Voltage,Acq Hold Time,Acq Num Aver Scans,Delay Before Meas,Num Track Points,PV mode,Track Interval,Comments
Robotic-SC_tracking,2017-10-17,17-26-39,17.46099853515625,4.2158,4.2789,2.9000000000000004,9.41891,52.214185854304944,3241.1286072905154,0.0,4.259399999999999,-5,5,0,0.1,0,0.1,1.0,1,5.0,True,2,Under solar sim
,2017-10-17,17-26-34,12.313704013824463,4.2124,4.2767,2.9000000000000004,9.359460000000002,51.953211870358786,3220.6713467685,0.1,4.2372,,,,,,,,,,,,
,2017-10-17,17-26-29,7.159409284591675,4.211,4.2785,2.9000000000000004,9.404700000000002,52.19971944461612,3236.2388230681804,0.2,4.2153,,,,,,,,,,,,
,2017-10-17,17-26-24,2.0001144409179688,4.2174,4.2675,2.9000000000000004,9.38904,52.16784127153196,3230.8500812721363,0.30000000000000004,4.1966,,,,,,,,,,,,
,2017-10-17,17-26-14,0.0,4.2146,4.2737,2.9000000000000004,9.44965,0.5246326652230692,2.0978709706065177,0.4,4.1743,,,,,,,,,,,,
,,,,,,,,,,0.5,4.1544,,,,,,,,,,,,
,,,,,,,,,,0.6000000000000001,4.125,,,,,,,,,,,,
,,,,,,,,,,0.7000000000000001,4.102,,,,,,,,,,,,
,,,,,,,,,,0.8,4.0801,,,,,,,,,,,,
,,,,,,,,,,0.9,4.0565,,,,,,,,,,,,
,,,,,,,,,,1.0,4.0296,,,,,,,,,,,,
,,,,,,,,,,1.1,3.9997,,,,,,,,,,,,
,,,,,,,,,,1.2000000000000002,3.9694,,,,,,,,,,,,
,,,,,,,,,,1.3,3.9409,,,,,,,,,,,,
,,,,,,,,,,1.4000000000000001,3.9095,,,,,,,,,,,,
,,,,,,,,,,1.5,3.8853,,,,,,,,,,,,
,,,,,,,,,,1.6,3.858,,,,,,,,,,,,
,,,,,,,,,,1.7000000000000002,3.8289999999999997,,,,,,,,,,,,
,,,,,,,,,,1.8,3.7971,,,,,,,,,,,,
,,,,,,,,,,1.9000000000000001,3.7609,,,,,,,,,,,,
,,,,,,,,,,2.0,3.7285999999999997,,,,,,,,,,,,
,,,,,,,,,,2.1,3.6898999999999997,,,,,,,,,,,,
,,,,,,,,,,2.2,3.6512,,,,,,,,,,,,
,,,,,,,,,,2.3000000000000003,3.6083000000000003,,,,,,,,,,,,
,,,,,,,,,,2.4000000000000004,3.5628,,,,,,,,,,,,
,,,,,,,,,,2.5,3.5152,,,,,,,,,,,,
,,,,,,,,,,2.6,3.4616,,,,,,,,,,,,
,,,,,,,,,,2.7,3.4117,,,,,,,,,,,,
,,,,,,,,,,2.8000000000000003,3.3474,,,,,,,,,,,,
,,,,,,,,,,2.9000000000000004,3.2584999999999997,,,,,,,,,,,,
,,,,,,,,,,3.0,3.1498000000000004,,,,,,,,,,,,
,,,,,,,,,,3.1,3.0192,,,,,,,,,,,,
,,,,,,,,,,3.2,2.8727,,,,,,,,,,,,
,,,,,,,,,,3.3000000000000003,2.7152,,,,,,,,,,,,
,,,,,,,,,,3.4000000000000004,2.5340999999999996,,,,,,,,,,,,
,,,,,,,,,,3.5,2.3348999999999998,,,,,,,,,,,,
,,,,,,,,,,3.6,2.1078,,,,,,,,,,,,
,,,,,,,,,,3.7,1.8563,,,,,,,,,,,,
,,,,,,,,,,3.8000000000000003,1.5736999999999999,,,,,,,,,,,,
,,,,,,,,,,3.9000000000000004,1.2694999999999999,,,,,,,,,,,,
,,,,,,,,,,4.0,0.91586,,,,,,,,,,,,
,,,,,,,,,,4.1000000000000005,0.53527,,,,,,,,,,,,
,,,,,,,,,,4.2,0.12055,,,,,,,,,,,,
